Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
D1 ,1,"1N4004","rascsi_din:DO41-10",""
D2 D3 D4 D5 ,4,"LED_Small","LED_SMD:LED_0805_2012Metric","~"
FUSE1A1 ,1,"R-US_0204_7","rascsi_din:0204_7",""
H1 ,1,"Hole1","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~"
H2 ,1,"Hole2","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~"
H3 ,1,"Hole3","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~"
H4 ,1,"Hole5","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~"
H5 ,1,"Hole4","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~"
H6 ,1,"Hole6","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~"
J1 ,1,"Raspberry_Pi_2_3","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf"
J2 ,1,"DLS3XS6AK44X","DLS3XS6AK44X","https://componentsearchengine.com/Datasheets/1/DLS3XS6AK44X.pdf","D-Sub Standard Connectors 25P F R/A .370 4-40 C/W HEX","12.5","CONEC","DLS3XS6AK44X","706-DLS3XS6AK44X","https://www.mouser.com/Search/Refine.aspx?Keyword=706-DLS3XS6AK44X"
J3 ,1,"Conn_02x25_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical_SMD","~"
J4 ,1,"I2C Pinout","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
JP1 ,1,"Term_Enable_GND","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
JP2 ,1,"Term_Enable_5v","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
L1 ,1,"Mac","rascsi_din:mac_happy_small",""
L2 ,1,"Dogcow","rascsi_din:dogcow",""
L3 ,1,"Mac2","rascsi_din:mac_happy_small",""
L4 ,1,"Dogcow2","rascsi_din:dogcow",""
L6 ,1,"Mac Trashcan","rascsi_din:mac_trashcan",""
L7 L5 ,2,"Raspberry Pi","rascsi_din:pi_logo",""
R1 R2 R4 ,3,"44","Resistor_SMD:R_0805_2012Metric","~"
R3 ,1,"112","Resistor_SMD:R_0805_2012Metric","~"
RN2 RN1 ,2,"10k","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf"
RN3 RN5 ,2,"220","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf"
RN4 RN6 ,2,"330","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf"
U$1 ,1,"LOGO","rascsi_din:LOGO",""
U3 U1 U2 U4 ,4,"SN74LS641-1C","rascsi_din:SOIC20S",""
