Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,16.5,44.9,180,bottom
R1,10k,R_0805_2012Metric,30.2,43.307,270,bottom
R2,10k,R_0805_2012Metric,28.167615,43.307,270,bottom
R3,10k,R_0805_2012Metric,20.038083,43.307,270,bottom
R4,10k,R_0805_2012Metric,22.070466,43.307,270,bottom
R5,10k,R_0805_2012Metric,24.102849,43.307,270,bottom
R6,10k,R_0805_2012Metric,26.135232,43.307,270,bottom
R7,10k,R_0805_2012Metric,18.8595,33.02,90,bottom
R8,10k,R_0805_2012Metric,15.7,33.02,90,bottom
R9,10k,R_0805_2012Metric,12.573,33.02,90,bottom
R10,10k,R_0805_2012Metric,8.4,38.6,90,bottom
R11,10k,R_0805_2012Metric,6.4,38.6,270,bottom
R12,10k,R_0805_2012Metric,25.365585,28.493,270,bottom
R13,10k,R_0805_2012Metric,23.391501,28.493,270,bottom
U1,"PCA9554APW,118",TSSOP-16_4.4x5mm_P0.65mm,13,40,0,bottom
