Comment,Designator,Footprint,LCSC
"100n","C1","Capacitor_SMD:C_0805_2012Metric","C49678"
"RaSCSI Connector","J1","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"OLED Connector","J2","mousebites:0.9_and_1.3_in_OLED_Footprint",""
"Conn_01x06_Odd_Even","J3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Aux GPIO Connector","J4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"SolderJumper_3_Bridged12","JP1,JP2,JP3","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm",""
"SolderJumper_2_Open","JP4","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"M2.5","MK1,MK2,MK3,MK4","MountingHole:MountingHole_2.7mm_M2.5",""
"Conn_02x20_Odd_Even","P1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"10k","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13","Resistor_SMD:R_0805_2012Metric","C17414"
"SW_SPST","SW1,SW2","Button_Switch_THT:SW_PUSH_6mm_H5mm","C110153"
"Rotary_Encoder_Switch","SW4","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"PCA9554APW,118","U1","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","C86803"
