"Source:","C:\Users\theto\Downloads\RASCSI-Master\hw\rascsi_1p6\rascsi_din.sch"
"Date:","8/14/2020 2:13:02 PM"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","D1","1N4004","rascsi_din-rescue:1N4004-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:DO41-10","","","","","","",""
"","","D2","LED_Small","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"","","D3","LED_Small","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"","","D4","LED_Small","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"","","D5","LED_Small","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"","","FUSE1A1","R-US_0204_7","rascsi_din-rescue:R-US_0204_7-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:0204_7","","","","","","",""
"","","H1","Hole1","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"","","H2","Hole2","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"","","H3","Hole3","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"","","H4","Hole5","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"","","H5","Hole4","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"","","H6","Hole6","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"","","J1","Raspberry_Pi_2_3","Connector:Raspberry_Pi_2_3","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","","","","","",""
"","","J2","DLS3XS6AK44X","rascsi_din-rescue:DLS3XS6AK44X-Library_Loader_Parts","SamacSys_Parts:DLS3XS6AK44X","https://componentsearchengine.com/Datasheets/1/DLS3XS6AK44X.pdf","D-Sub Standard Connectors 25P F R/A .370 4-40 C/W HEX","12.5","CONEC","DLS3XS6AK44X","706-DLS3XS6AK44X","https://www.mouser.com/Search/Refine.aspx?Keyword=706-DLS3XS6AK44X"
"","","J3","Conn_02x25_Odd_Even","Connector_Generic:Conn_02x25_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical_SMD","~","","","","","",""
"","","J4","I2C Pinout","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","",""
"","","JP1","Term_Enable_GND","Device:Jumper_NC_Small","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","",""
"","","JP2","Term_Enable_5v","Device:Jumper_NC_Small","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","",""
