Comment,Designator,Footprint,LCSC
"Green","D1,D2,D3,D4","LED_SMD:LED_0805_2012Metric","C2297"
"SM4007PL","D5","Diode_SMD:D_SOD-123F","C64898"
"1A","FUSE1","Fuse:Fuse_1206_3216Metric","C182974"
"Hole1","H1","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via",""
"Hole2","H2","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via",""
"Hole3","H3","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via",""
"Hole5","H4","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via",""
"Hole4","H5","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via",""
"Hole6","H6","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via",""
"SN74LS641-1DW","IC1,IC2,IC3,IC4","SOIC127P1030X265-20N",""
"Raspberry_Pi_2_3","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","C50982"
"Conn_01x02_Male","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","C2337"
"Conn_02x25_Odd_Even","J3","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical","C30006"
"I2C Pinout","J4","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","C2337"
"Conn_02x03_Odd_Even","J5","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","C3409"
"CONNFLY DB-25","J6","L717SDB25PA4CH4F","C77838"
"Conn_01x02_Male","J7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C2337"
"USB_B_Micro","J8","SamacSys_Parts:U254051N4BH806","C319170"
"2k","R1,R2,R4","Resistor_SMD:R_0402_1005Metric","C4109"
"10k","R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22","Resistor_SMD:R_0402_1005Metric","C25744"
"5k","R3","Resistor_SMD:R_0402_1005Metric","C25905"
"220","R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40","Resistor_SMD:R_0402_1005Metric","C25091"
"330","R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58","Resistor_SMD:R_0402_1005Metric","C25104"
"Switch x2","S1","rascsi_din:SOIC127P812X230-4N","C40735"
"Mac","X1","SamacSys_Parts:mac_happy_small",""
"Dogcow","X2","SamacSys_Parts:dogcow",""
"Mac2","X3","SamacSys_Parts:mac_happy_small",""
"Raspberry Pi","X4","SamacSys_Parts:pi_logo",""
"Dogcow2","X5","SamacSys_Parts:dogcow",""
"Mac Trashcan","X6","SamacSys_Parts:mac_trashcan",""
"Pi","X7","SamacSys_Parts:pi_logo",""
"Pi","X8","SamacSys_Parts:scsi_logo",""
