Comment,Designator,Footprint,LCSC
"Green","D1,D2,D3,D4","LED_SMD:LED_0805_2012Metric","C2297"
"SM4007PL","D5","Diode_SMD:D_SOD-123F","C64898"
"1A","FUSE1","Fuse:Fuse_1206_3216Metric","C182974"
"Hole1","H1","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole2","H2","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole3","H3","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole5","H4","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole4","H5","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole6","H6","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"SN74LS641-1DW","IC1,IC2,IC3,IC4","SamacSys_Parts:SOIC127P1030X265-20N","N/A"
"Raspberry_Pi_2_3","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","C50982"
"Conn_01x04_Male","J10","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical",""
"DNP","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","DNP"
"171826-4","J20","SHDRRA4W69P0X250_1X4_1000X1350X670P",""
"Conn_02x25_Odd_Even","J3","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical","C30006"
"I2C Pinout","J4","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","C50950"
"DNP","J5","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","DNP"
"CONNFLY DB-25","J6","SamacSys_Parts:L717SDB25PA4CH4F","C77838"
"DNP","J7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","DNP"
"USB_B_Micro","J8","SamacSys_Parts:U254051N4BH806","C319170"
"Conn_02x25_Odd_Even","J9","Connector_PinHeader_2.00mm:PinHeader_2x25_P2.00mm_Horizontal","C3407"
"SolderJumper_2_Bridged","JP1","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm",""
"2k","R1,R2,R4","Resistor_SMD:R_0402_1005Metric","C4109"
"10k","R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22","Resistor_SMD:R_0402_1005Metric","C25744"
"5.1k","R3","Resistor_SMD:R_0402_1005Metric","C25905"
"220","R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40","Resistor_SMD:R_0402_1005Metric","C25091"
"330","R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58","Resistor_SMD:R_0402_1005Metric","C25104"
"Switch x2","S1","rascsi_din:SOIC127P812X230-4N","C40735"
"TestPoint","TP1,TP2,TP3","TestPoint:TestPoint_Pad_D1.0mm","N/A"
"Mac","X1,X3","SamacSys_Parts:mac_happy_small","N/A"
"Dogcow","X2,X4,X5,X6","SamacSys_Parts:dogcow","N/A"
"Pi","X7","SamacSys_Parts:pi_logo","N/A"
"Pi","X8","SamacSys_Parts:scsi_logo","N/A"
