Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Green,LED_0805_2012Metric,142.7035,2.381,180,top
D2,Green,LED_0805_2012Metric,142.5915,-1.556,180,top
D3,Green,LED_0805_2012Metric,141.8295,-22.0665,180,top
D4,Green,LED_0805_2012Metric,141.8295,-20.1615,180,top
D5,SM4007PL,D_SOD-123F,128.4945,-13.62,-90,top
FUSE1,1A,Fuse_1206_3216Metric,125.5735,-13.624,90,top
IC1,SN74LS641-1DW,SOIC127P1030X265-20N,105.444,-4.985,90,top
IC2,SN74LS641-1DW,SOIC127P1030X265-20N,92.49,-4.985,90,top
IC3,SN74LS641-1DW,SOIC127P1030X265-20N,118.398,-4.985,-90,top
IC4,SN74LS641-1DW,SOIC127P1030X265-20N,131.352,-4.985,-90,top
J3,Conn_02x25_Odd_Even,PinHeader_2x25_P2.54mm_Vertical,82.2665,-30.1945,90,top
J4,I2C Pinout,PinSocket_1x05_P2.54mm_Vertical,83.81,-10.98,180,top
J5,DNP,PinHeader_2x03_P2.54mm_Vertical,87.61,-20.5,-90,top
J7,DNP,PinHeader_1x02_P2.54mm_Vertical,82.38,2.28,90,top
J8,USB_B_Micro,U254051N4BH806,143.19,-8.66,90,top
J9,Conn_02x25_Odd_Even,PinHeader_2x25_P2.00mm_Horizontal,136.772,-40.688,-90,top
J10,Conn_01x04_Male,PinHeader_1x04_P2.00mm_Vertical,143.63,-32.592,0,top
J20,171826-4,SHDRRA4W69P0X250_1X4_1000X1350X670P,106.91,-22.2,90,top
R1,2k,R_0402_1005Metric,138.7585,2.4445,0,top
R2,2k,R_0402_1005Metric,138.7585,3.4605,0,top
R3,5.1k,R_0402_1005Metric,139.607,-22.003,-90,top
R4,2k,R_0402_1005Metric,139.607,-20.098,-90,top
R5,10k,R_0402_1005Metric,132.8125,2.231,-90,top
R6,10k,R_0402_1005Metric,134.0825,2.231,-90,top
R7,10k,R_0402_1005Metric,135.3525,2.231,-90,top
R8,10k,R_0402_1005Metric,136.6225,2.231,-90,top
R9,10k,R_0402_1005Metric,118.525,2.231,-90,top
R10,10k,R_0402_1005Metric,119.795,2.231,-90,top
R11,10k,R_0402_1005Metric,121.065,2.231,-90,top
R12,10k,R_0402_1005Metric,122.335,2.231,-90,top
R13,10k,R_0402_1005Metric,123.605,2.231,-90,top
R14,10k,R_0402_1005Metric,89.95,2.231,-90,top
R15,10k,R_0402_1005Metric,91.22,2.231,-90,top
R16,10k,R_0402_1005Metric,92.49,2.231,-90,top
R17,10k,R_0402_1005Metric,93.76,2.231,-90,top
R18,10k,R_0402_1005Metric,95.03,2.231,-90,top
R19,10k,R_0402_1005Metric,96.3,2.231,-90,top
R20,10k,R_0402_1005Metric,97.57,2.231,-90,top
R21,10k,R_0402_1005Metric,98.84,2.231,-90,top
R22,10k,R_0402_1005Metric,100.11,2.231,-90,top
R23,220,R_0402_1005Metric,131.5425,-12.605,-90,top
R24,220,R_0402_1005Metric,132.8125,-12.605,-90,top
R25,220,R_0402_1005Metric,134.0825,-12.605,-90,top
R26,220,R_0402_1005Metric,135.3525,-12.605,-90,top
R27,220,R_0402_1005Metric,117.255,-12.478,-90,top
R28,220,R_0402_1005Metric,118.525,-12.478,-90,top
R29,220,R_0402_1005Metric,119.795,-12.478,-90,top
R30,220,R_0402_1005Metric,121.0015,-12.478,-90,top
R31,220,R_0402_1005Metric,122.335,-12.478,-90,top
R32,220,R_0402_1005Metric,88.68,-12.478,-90,top
R33,220,R_0402_1005Metric,89.95,-12.478,-90,top
R34,220,R_0402_1005Metric,91.22,-12.478,-90,top
R35,220,R_0402_1005Metric,92.49,-12.478,-90,top
R36,220,R_0402_1005Metric,93.76,-12.478,-90,top
R37,220,R_0402_1005Metric,94.9665,-12.478,-90,top
R38,220,R_0402_1005Metric,96.3,-12.478,-90,top
R39,220,R_0402_1005Metric,97.57,-12.478,-90,top
R40,220,R_0402_1005Metric,98.8975,-12.478,-90,top
R41,330,R_0402_1005Metric,131.5425,-15.002501,90,top
R42,330,R_0402_1005Metric,132.8125,-15.002501,90,top
R43,330,R_0402_1005Metric,134.0825,-15.002501,90,top
R44,330,R_0402_1005Metric,135.3525,-15.002501,90,top
R45,330,R_0402_1005Metric,117.255,-14.8275,90,top
R46,330,R_0402_1005Metric,118.525,-14.8275,90,top
R47,330,R_0402_1005Metric,119.795,-14.8275,90,top
R48,330,R_0402_1005Metric,121.065,-14.8275,90,top
R49,330,R_0402_1005Metric,122.335,-14.8275,90,top
R50,330,R_0402_1005Metric,88.68,-14.8275,90,top
R51,330,R_0402_1005Metric,89.95,-14.8275,90,top
R52,330,R_0402_1005Metric,91.22,-14.8275,90,top
R53,330,R_0402_1005Metric,92.49,-14.8275,90,top
R54,330,R_0402_1005Metric,93.76,-14.8275,90,top
R55,330,R_0402_1005Metric,95.03,-14.8275,90,top
R56,330,R_0402_1005Metric,96.3,-14.8275,90,top
R57,330,R_0402_1005Metric,97.57,-14.8275,90,top
R58,330,R_0402_1005Metric,98.8975,-14.8275,90,top
S1,Switch x2,SOIC127P812X230-4N,133.8285,-18.2565,270,top
X1,Mac,mac_happy_small,83.4095,-35.9095,0,top
X2,Dogcow,dogcow,92.2995,-4.985,0,top
X3,Mac,mac_happy_small,92.91,-20.6,0,top
X4,Dogcow,dogcow,131.225,-4.985,180,top
X5,Dogcow,dogcow,117.89,-4.985,180,top
X6,Dogcow,dogcow,105.825,-4.9215,0,top
X7,Pi,pi_logo,102.61,-20.7,0,top
X8,Pi,scsi_logo,97.41,-20.8,0,top
