Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Green","LED_0805_2012Metric",142.756240,2.381000,180.000000,top
"D2","Green","LED_0805_2012Metric",142.756240,-1.530816,180.000000,top
"D3","Green","LED_0805_2012Metric",142.756240,-9.354448,180.000000,top
"D4","Green","LED_0805_2012Metric",142.756240,-5.442632,180.000000,top
"D5","SM4007PL","D_SOD-123F",105.860000,-1.350000,90.000000,top
"FUSE1","1A","Fuse_1206_3216Metric",105.794160,-5.910320,270.000000,top
"R1","2k","R_0805_2012Metric",142.776240,0.425092,0.000000,top
"R2","2k","R_0805_2012Metric",142.776240,-3.486724,0.000000,top
"R3","5.1k","R_0805_2012Metric",142.776240,-11.310356,0.000000,top
"R4","2k","R_0805_2012Metric",142.776240,-7.398540,0.000000,top
"R5","10k","R_0805_2012Metric",93.536124,0.675280,90.000000,top
"R6","10k","R_0805_2012Metric",91.504850,0.675280,90.000000,top
"R7","10k","R_0805_2012Metric",89.473576,0.675280,90.000000,top
"R8","10k","R_0805_2012Metric",87.401660,0.675280,90.000000,top
"R9","10k","R_0805_2012Metric",103.692494,0.675280,90.000000,top
"R10","10k","R_0805_2012Metric",101.661220,0.675280,90.000000,top
"R11","10k","R_0805_2012Metric",99.629946,0.675280,90.000000,top
"R12","10k","R_0805_2012Metric",97.598672,0.675280,90.000000,top
"R13","10k","R_0805_2012Metric",95.567398,0.675280,90.000000,top
"R14","10k","R_0805_2012Metric",136.975200,0.675280,90.000000,top
"R15","10k","R_0805_2012Metric",134.943926,0.675280,90.000000,top
"R16","10k","R_0805_2012Metric",132.912652,0.675280,90.000000,top
"R17","10k","R_0805_2012Metric",130.881378,0.675280,90.000000,top
"R18","10k","R_0805_2012Metric",128.850104,0.675280,90.000000,top
"R19","10k","R_0805_2012Metric",126.818830,0.675280,90.000000,top
"R20","10k","R_0805_2012Metric",124.787556,0.675280,90.000000,top
"R21","10k","R_0805_2012Metric",122.756282,0.675280,90.000000,top
"R22","10k","R_0805_2012Metric",120.725008,0.675280,90.000000,top
"R23","220","R_0805_2012Metric",93.502664,-6.703560,90.000000,top
"R24","220","R_0805_2012Metric",91.469000,-6.703560,90.000000,top
"R25","220","R_0805_2012Metric",89.435336,-6.703560,90.000000,top
"R26","220","R_0805_2012Metric",87.401660,-6.703560,90.000000,top
"R27","220","R_0805_2012Metric",103.670984,-6.703560,90.000000,top
"R28","220","R_0805_2012Metric",101.637320,-6.703560,90.000000,top
"R29","220","R_0805_2012Metric",99.603656,-6.703560,90.000000,top
"R30","220","R_0805_2012Metric",97.569992,-6.703560,90.000000,top
"R31","220","R_0805_2012Metric",95.536328,-6.703560,90.000000,top
"R32","220","R_0805_2012Metric",136.975200,-6.703560,90.000000,top
"R33","220","R_0805_2012Metric",134.941536,-6.703560,90.000000,top
"R34","220","R_0805_2012Metric",132.907872,-6.703560,90.000000,top
"R35","220","R_0805_2012Metric",130.874208,-6.703560,90.000000,top
"R36","220","R_0805_2012Metric",128.840544,-6.703560,90.000000,top
"R37","220","R_0805_2012Metric",126.806880,-6.703560,90.000000,top
"R38","220","R_0805_2012Metric",124.773216,-6.703560,90.000000,top
"R39","220","R_0805_2012Metric",122.739552,-6.703560,90.000000,top
"R40","220","R_0805_2012Metric",120.705888,-6.703560,90.000000,top
"R41","330","R_0805_2012Metric",93.512460,-3.014140,270.000000,top
"R42","330","R_0805_2012Metric",91.475530,-3.014140,270.000000,top
"R43","330","R_0805_2012Metric",89.438600,-3.014140,270.000000,top
"R44","330","R_0805_2012Metric",87.401660,-3.014140,270.000000,top
"R45","330","R_0805_2012Metric",103.697110,-3.014140,270.000000,top
"R46","330","R_0805_2012Metric",101.660180,-3.014140,270.000000,top
"R47","330","R_0805_2012Metric",99.623250,-3.014140,270.000000,top
"R48","330","R_0805_2012Metric",97.586320,-3.014140,270.000000,top
"R49","330","R_0805_2012Metric",95.549390,-3.014140,270.000000,top
"R50","330","R_0805_2012Metric",136.975200,-3.014140,270.000000,top
"R51","330","R_0805_2012Metric",134.993790,-3.014140,270.000000,top
"R52","330","R_0805_2012Metric",132.956860,-3.014140,270.000000,top
"R53","330","R_0805_2012Metric",130.919930,-3.014140,270.000000,top
"R54","330","R_0805_2012Metric",128.883000,-3.014140,270.000000,top
"R55","330","R_0805_2012Metric",126.846070,-3.014140,270.000000,top
"R56","330","R_0805_2012Metric",124.809140,-3.014140,270.000000,top
"R57","330","R_0805_2012Metric",122.772210,-3.014140,270.000000,top
"R58","330","R_0805_2012Metric",120.735280,-3.014140,270.000000,top
"R59","500","R_0805_2012Metric",139.266280,-4.444100,90.000000,top
